21:34:09 [INFO] [ScanEngine][Job 47] Starting Discovery Phase...
21:34:17 [INFO] [ScanEngine][Job 47] Discovery finished. Unique targets: 15
21:34:17 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/search.php ---
21:34:17 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:34:19 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:34:32 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/artists.php ---
21:34:32 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:34:34 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:34:48 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/guestbook.php ---
21:34:48 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:34:50 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:35:09 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/categories.php ---
21:35:09 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:35:10 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:35:25 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/index.php ---
21:35:25 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:35:26 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:35:41 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/AJAX/index.php ---
21:35:41 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:35:41 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:35:55 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/disclaimer.php ---
21:35:55 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:35:56 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:36:09 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/userinfo.php ---
21:36:09 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:36:15 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:39:03 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/privacy.php ---
21:39:03 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:39:03 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:39:17 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/cart.php ---
21:39:17 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:39:18 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:39:31 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/login.php ---
21:39:31 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:39:34 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:42:16 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/listproducts.php ---
21:42:16 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:42:17 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:42:30 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/Mod_Rewrite_Shop/ ---
21:42:30 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:42:30 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:42:44 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/hpp/ ---
21:42:44 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:42:44 [INFO] [ScanEngine][Job 47] Running DOM Scan...
21:42:58 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/signup.php ---
21:42:58 [INFO] [ScanEngine][Job 47] Running Reflected Scan...
21:43:03 [INFO] [ScanEngine][Job 47] Running DOM Scan...
